title,summary,link,published_date
Redwood Materials lays off 10% in restructuring to chase energy storage business,"The company is restructuring some teams to accommodate a booming energy storage business, according to emails viewed by TechCrunch.",https://techcrunch.com/2026/04/21/redwood-materials-lays-off-10-in-restructuring-to-chase-energy-storage-business/,"Wed, 22 Apr 2026 00:37:33 +0000"
Meta will record employees’ keystrokes and use it to train its AI models,Meta says that it has a new internal tool that is converting mouse movements and button clicks into data that can train its AI models.,https://techcrunch.com/2026/04/21/meta-will-record-employees-keystrokes-and-use-it-to-train-its-ai-models/,"Tue, 21 Apr 2026 23:45:21 +0000"
"Unauthorized group has gained access to Anthropic’s exclusive cyber tool Mythos, report claims","Anthropic told TechCrunch it is investigating the claims, but maintains that there is no evidence that its systems have been impacted.",https://techcrunch.com/2026/04/21/unauthorized-group-has-gained-access-to-anthropics-exclusive-cyber-tool-mythos-report-claims/,"Tue, 21 Apr 2026 23:26:45 +0000"
SpaceX is working with Cursor and has an option to buy the startup for $60B,"The move could shore up weaknesses at each company, but it also reveals them. Neither Cursor nor xAI has proprietary models that can match the leading offerings from Anthropic and OpenAI — the same companies now competing directly with Cursor for the developer market.",https://techcrunch.com/2026/04/21/spacex-is-working-with-cursor-and-has-an-option-to-buy-the-startup-for-60-billion/,"Tue, 21 Apr 2026 22:58:22 +0000"
"Tim Cook is stepping down as CEO of Apple: Here’s a look at his 15-year legacy, from new products and services to China expansion","Cook, who joined Apple in 1998, succeeded Steve Jobs as CEO in 2011 and went on to transform Apple into a $4 trillion powerhouse.",https://techcrunch.com/2026/04/21/apple-tim-cook-ceo-15-year-legacy-takeaways-ios-silicon-china-trillion-ai/,"Tue, 21 Apr 2026 21:09:09 +0000"
Apple’s John Ternus will run one of the world’s most powerful companies; the job is a minefield,"Apple's top job comes with almost unrivaled power and money, but it comes with plenty of baggage, too.",https://techcrunch.com/2026/04/21/apples-john-ternus-will-run-one-of-the-worlds-most-powerful-companies-the-job-is-a-minefield/,"Tue, 21 Apr 2026 20:23:24 +0000"
AI research lab NeoCognition lands $40M seed to build agents that learn like humans,"Founded by an OSU researcher, the startup is developing AI agents that can become experts in any domain.",https://techcrunch.com/2026/04/21/ai-research-lab-neocognition-lands-40m-seed-to-build-agents-that-learn-like-humans/,"Tue, 21 Apr 2026 19:11:29 +0000"
Apple’s Cal AI crackdown signals it’s still policing the App Store,"Apple tells TechCrunch Cal AI was removed not for web payments alone, but for deceptive billing, manipulative tactics, and App Store rule violations.",https://techcrunch.com/2026/04/21/apples-cal-ai-crackdown-signals-its-still-policing-the-app-store/,"Tue, 21 Apr 2026 19:09:12 +0000"
"SusHi Tech Tokyo isn’t a conference — it’s a deal room with 60,000 people","When 60,000 attendees descend on Tokyo Big Sight April 27–29, the headline numbers are hard to ignore: 750 startup exhibitors, 151 sessions, city leaders from 49 countries. But the stat that tells you what kind of event this actually is? It's 10,000 facilitated business meetings — brokered, booked, and tracked before most attendees even land.",https://techcrunch.com/2026/04/21/sushi-tech-tokyo-isnt-a-conference-its-a-deal-room-with-60000-people/,"Tue, 21 Apr 2026 19:02:35 +0000"
ChatGPT’s new Images 2.0 model is surprisingly good at generating text,"ChatGPT Images 2.0, the newest image-generation model from OpenAI, shows just how much AI capabilities have evolved over the last few years.",https://techcrunch.com/2026/04/21/chatgpts-new-images-2-0-model-is-surprisingly-good-at-generating-text/,"Tue, 21 Apr 2026 19:00:00 +0000"
"Sam Altman throws shade at Anthropic’s cyber model, Mythos: ‘fear-based marketing’","This week, during a podcast appearance, OpenAI CEO Sam Altman called out his competitor's new cybersecurity model, noting that the company was using fear to make its product sound more impressive than it actually is.",https://techcrunch.com/2026/04/21/sam-altman-throws-shade-at-anthropics-cyber-model-mythos-fear-based-marketing/,"Tue, 21 Apr 2026 18:51:52 +0000"
"Clarifai deletes 3 million photos that OkCupid provided to train facial recognition AI, report says","The photo deletion comes after an FTC settlement with Clarifai. The company had asked OkCupid — whose executives had invested in Clarifai — to share data in 2014, according to court documents.",https://techcrunch.com/2026/04/21/clarifai-okcupid-facial-recognition-ai-ftc-settlement/,"Tue, 21 Apr 2026 17:11:01 +0000"
Former Pinterest team redesigns email with Extra — and it’s actually good,"Extra, from a team of former Pinterest designers and engineers, reimagines email around your life instead of the traditional inbox.",https://techcrunch.com/2026/04/21/former-pinterest-team-redesigns-email-with-extra-and-its-actually-good/,"Tue, 21 Apr 2026 16:00:00 +0000"
"AI Dungeon maker Latitude unveils Voyage, a platform for creating AI-powered RPGs","Latitude's new AI-native platform, Voyage, aims to help gamers create their very own role-playing game.",https://techcrunch.com/2026/04/21/voyage-is-an-ai-rpg-platform-for-creating-custom-gaming-worlds-with-ai-generated-npc-interactions/,"Tue, 21 Apr 2026 16:00:00 +0000"
Ransomware negotiator pleads guilty to helping ransomware gang,"A former employee of a cybersecurity firm pleaded guilty to aiding ransomware criminals to maximize their profits, with the goal of taking a cut of the ransom.",https://techcrunch.com/2026/04/21/ransomware-negotiator-pleads-guilty-to-helping-ransomware-gang/,"Tue, 21 Apr 2026 15:56:53 +0000"
"Bond, a new social media platform, wants to use AI to help you kick your doomscrolling habit","Bond wants you to get off the couch and get back into the real world, its creator says. The new platform's AI system is designed to motivate users to do things away from the app.",https://techcrunch.com/2026/04/21/bond-social-media-platform-ai-memories-kick-doomscrolling-habit/,"Tue, 21 Apr 2026 15:24:29 +0000"
YouTube expands its AI likeness detection technology to celebrities,"YouTube is expanding its AI likeness detection tool to celebrities, giving talent and their reps a way to find and remove deepfakes.",https://techcrunch.com/2026/04/21/youtube-expands-its-ai-likeness-detection-technology-to-celebrities/,"Tue, 21 Apr 2026 15:02:06 +0000"
Amazon taps Sweden’s Einride for its electric big rigs,The agreement comes just as Einride is finalizing a merger with blank-check company Legato Merger Corp. to go public.,https://techcrunch.com/2026/04/21/amazon-taps-swedens-einride-for-its-electric-big-rigs/,"Tue, 21 Apr 2026 14:09:43 +0000"
Revolut eyes valuation of up to $200B in eventual IPO,"Fintech giant Revolut, which secured a full banking license in the U.K. in March after years of waiting, was most recently valued at $75 billion in a secondary share sale.",https://techcrunch.com/2026/04/21/revolut-eyes-valuation-of-up-to-200b-in-eventual-ipo/,"Tue, 21 Apr 2026 13:41:44 +0000"
"With US spy laws set to expire, lawmakers are split over protecting Americans from warrantless surveillance","Some lawmakers are calling for widespread reforms following years of surveillance scandals and abuses across successive U.S. administrations. But even if the spy law known as Section 702 expires on April 30, the government's spy powers will not automatically lapse.",https://techcrunch.com/2026/04/21/with-us-spy-laws-set-to-expire-lawmakers-are-split-over-protecting-americans-from-warrantless-surveillance/,"Tue, 21 Apr 2026 13:00:00 +0000"
